0.006693,0.017986,0.047426,0.119203,0.268941,0.500000,0.731059,0.880797,0.952574,0.982014,
0.982014,0.006693,0.017986,0.047426,0.119203,0.268941,0.500000,0.731059,0.880797,0.952574,
0.952574,0.982014,0.006693,0.017986,0.047426,0.119203,0.268941,0.500000,0.731059,0.880797,
0.880797,0.952574,0.982014,0.006693,0.017986,0.047426,0.119203,0.268941,0.500000,0.731059,
0.731059,0.880797,0.952574,0.982014,0.006693,0.017986,0.047426,0.119203,0.268941,0.500000,
0.500000,0.731059,0.880797,0.952574,0.982014,0.006693,0.017986,0.047426,0.119203,0.268941,
0.268941,0.500000,0.731059,0.880797,0.952574,0.982014,0.006693,0.017986,0.047426,0.119203,
0.119203,0.268941,0.500000,0.731059,0.880797,0.952574,0.982014,0.006693,0.017986,0.047426,
0.047426,0.119203,0.268941,0.500000,0.731059,0.880797,0.952574,0.982014,0.006693,0.017986,
0.017986,0.047426,0.119203,0.268941,0.500000,0.731059,0.880797,0.952574,0.982014,0.006693,
